date,value
1790,12.5
1791,10
1792,15.63
1793,22.58
1794,30
1795,17.46
1796,22.81
1797,24
1798,31.58
1799,44.44
1800,29.63
1801,29.85
1802,34.88
1803,26.92
1804,41.18
1805,33.33
1806,34.21
1807,31.76
1808,24.44
1809,30
1810,26.15
1811,23.81
1812,21.43
1813,36.84
1814,30.77
1815,48.1
1816,24.63
1817,26.83
1818,24.07
1819,28.38
1820,29.82
1821,43.21
1822,35.23
1823,43.69
1824,47.39
1825,47.72
1826,45.28
1827,50.93
1828,44.74
1829,50.73
1830,57.32
1831,44.23
1832,38.97
1833,28.99
1834,21.83
1835,21.25
1836,19.51
1837,16.05
1838,23.11
1839,17.57
1840,17.6
1841,17.37
1842,18.96
1843,20.13
1844,30.5
1845,29.34
1846,27.7
1847,24.2
1848,23.49
1849,23.41
1850,24.5
1851,24.26
1852,24.35
1853,23.37
1854,23.52
1855,23.36
1856,21.68
1857,19.09
1858,17.33
1859,15.43
1860,15.67
1861,14.21
1862,26.08
1863,28.28
1864,32.04
1865,38.46
1866,41.81
1867,44.56
1868,46.56
1869,44.76
1870,44.89
1871,40.51
1872,37.99
1873,27.9
1874,28.29
1875,29.36
1876,31.25
1877,29.2
1878,29
1879,30.33
1880,29.12
1881,29.79
1882,30.16
1883,30.04
1884,28.5
1885,30.75
1886,30.35
1887,31.52
1888,30.55
1889,30.02
1890,29.59
1891,25.65
1892,21.65
1893,23.91
1894,20.56
1895,20.44
1896,20.67
1897,21.89
1898,24.77
1899,29.48
1900,27.62
1901,28.91
1902,27.95
1903,27.85
1904,26.29
1905,23.77
1906,24.22
1907,23.28
1908,23.88
1909,22.99
1910,21.11
1911,20.29
1912,18.58
1913,17.69
1914,14.88
1915,12.49
1916,9.08
1917,7.01
1918,5.79
1919,6.2
1920,6.38
1921,11.44
1922,14.68
1923,15.18
1924,14.89
1925,13.21
1926,13.39
1927,13.81
1928,13.3
1929,13.48
1930,14.83
1931,17.75
1932,19.59
1933,19.8
1934,18.41
1935,17.52
1936,16.84
1937,15.63
1938,15.46
1939,14.41
1940,12.51
1941,13.59
1942,11.51
1943,11.57
1944,9.45
1945,9.29
1946,9.9
1947,7.55
1948,5.71
1949,5.53
1950,5.97
1951,5.47
1952,5.3
1953,5.42
1954,5.17
1955,5.59
1956,5.67
1957,5.76
1958,6.44
1959,7.02
1960,7.4
1961,7.21
1962,7.5
1963,7.29
1964,7.2
1965,7.72
1966,7.57
1967,7.54
1968,7.08
1969,7.11
1970,6.5
1971,6.08
1972,5.65
1973,5.24
1974,3.77
1975,3.92
1976,3.86
1977,3.73
1978,4.14
1979,3.5
1980,3.09
1981,3.43
1982,3.437
1983,3.333
1984,3.54
1985,3.542
1986,3.701
1987,3.723
1988,3.624
1989,3.543
1990,3.28
1991,3.232
1992,3.238
1993,3.218
1994,3.035
1995,2.468
1996,2.232
1997,2.069
1998,1.975
1999,1.781
2000,1.59
2001,1.65
2002,1.556
2003,1.547
2004,1.438
2005,1.375
2006,1.312
2007,1.345
2008,1.273
2009,1.353
2010,1.374
2011,1.337
2012,1.338
2013,1.421
2014,1.436
2015,1.529
2016,1.552
2017,1.486
2018,1.941
2019,2.944
2020,2.845
2021,3.011
2022,3.005
2023,2.487
2024,2.418
2025,18.2
