date,value
2025-01-01,2.4
2025-02-03,2.4
2025-02-04,3.8
2025-03-03,3.8
2025-03-04,8.6
2025-03-11,8.6
2025-03-13,9.8
2025-04-01,9.8
2025-04-02,22.44
2025-04-08,22.44
2025-04-09,27
2025-04-12,27
2025-04-13,27.99
2025-05-07,27.99
2025-05-08,27.62
2025-05-11,27.62
2025-05-12,17.83
2025-05-22,17.83
2025-05-23,21.87
2025-05-24,21.87
2025-05-25,17.83
2025-05-28,17.83
2025-05-29,6.94
2025-05-30,14.4
2025-05-31,15.6
2025-06-22,15.6
2025-06-23,15.8
2025-07-01,15.8
2025-07-02,16.6
2025-08-06,16.6
2025-08-07,18.61
2025-08-15,18.61
